AB,4.705035074,-2.50238302,0.78
C,4.33,-2.36406122,0.74
D,4.62,-1.46,1.1
E,4.26,-2.95375125,0.54
F,3.56,-3.72416157,0.26
G,5.13,-8.01944594,0.07
H,3.48,-6.5314333,0.1
